Route_Name,Route_URL,Bus_Name,Bus_Type,Departure_Time,Reaching_Time,Duration,Rating,Price,Seat_Availability
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra,Bihar state road transport corporation (BSRTC) - 152154,Volvo AC Seater 2+2,15:30,5:00,13h 30m,4.3,1206,26
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj,Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,4:00,06h 35m,3.6,450,36
Ranchi to Hajipur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-hajipur,Bihar state road transport corporation (BSRTC) - 153614,AC Seater (2+2),20:55,6:30,09h 35m,3.2,541,33
Lucknow to Gopalganj (Bihar),https://www.redbus.in/bus-tickets/lucknow-to-gopalganj,Bihar state road transport corporation (BSRTC) - 152185,Volvo AC Seater 2+2,23:00,7:00,08h 00m,3.1,700,49
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 801,Ordinary 3+2 Non AC Seater,0:15,8:30,08h 15m,3.9,270,34
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 130,Ordinary 3+2 Non AC Seater,1:30,6:15,04h 45m,3.9,280,37
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 754,Ordinary 3+2 Non AC Seater,3:00,8:30,05h 30m,3.9,280,37
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 759,Himsuta AC Seater Volvo/Scania 2+2,4:10,9:00,04h 50m,3.9,513,27
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 102,Ordinary 3+2 Non AC Seater,14:19,20:50,06h 31m,3.9,280,37
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 6649,A/C Executive (2+3),15:15,20:30,05h 15m,4.8,375,43
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 6709,Ordinary 3+2 Non AC Seater,20:45,1:45,05h 00m,3.9,270,35
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 6639,Himsuta AC Seater Volvo/Scania 2+2,22:35,3:30,04h 55m,4.5,523,33
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 763,Ordinary 3+2 Non AC Seater,22:45,5:00,06h 15m,3.9,285,36
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,RSRTC - 186766,Express Non AC Seater 2+3,2:00,7:20,05h 20m,1,317,42
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,RSRTC - 154328,Express Non AC Seater 2+3,5:43,10:45,05h 02m,1,315,42
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,21:15,2:00,04h 45m,3.2,676,35
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,RSRTC - 166269,Express Non AC Seater 2+3,22:00,5:55,07h 55m,3.7,320,42
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,RSRTC - 166262,Express Non AC Seater 2+3,22:30,4:25,05h 55m,3.7,320,42
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 69,Himsuta AC Seater Volvo/Scania 2+2,0:40,5:45,05h 05m,4.5,523,34
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 2100720,Ordinary 3+2 Non AC Seater,5:00,11:00,06h 00m,3.9,270,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 689,A/C Executive (2+3),5:20,10:30,05h 10m,3.7,380,42
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 434,Ordinary 3+2 Non AC Seater,5:30,9:55,04h 25m,3.9,285,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 1139,Ordinary 3+2 Non AC Seater,6:00,10:35,04h 35m,3.9,280,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 505,Ordinary 3+2 Non AC Seater,6:40,12:20,05h 40m,3.9,270,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 6,Himsuta AC Seater Volvo/Scania 2+2,6:45,11:00,04h 15m,3.5,523,28
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 165,Himsuta AC Seater Volvo/Scania 2+2,7:00,12:00,05h 00m,3.2,528,21
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 506,Ordinary 3+2 Non AC Seater,7:03,12:20,05h 17m,3.9,285,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 503,A/C Executive (2+3),7:10,12:00,04h 50m,3.6,365,44
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 533,Ordinary 3+2 Non AC Seater,7:20,13:25,06h 05m,3.9,285,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 1519,Himsuta AC Seater Volvo/Scania 2+2,7:45,14:20,06h 35m,3.9,513,28
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 509,Ordinary 3+2 Non AC Seater,7:50,15:00,07h 10m,3.9,281,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 592,A/C Executive (2+3),8:05,14:05,06h 00m,3.4,385,42
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 129,Ordinary 3+2 Non AC Seater,8:50,14:35,05h 45m,3.9,280,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,9:25,14:00,04h 35m,4.6,523,34
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 512,A/C Executive (2+3),10:00,15:50,05h 50m,3,380,42
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 513,Ordinary 3+2 Non AC Seater,10:30,15:00,04h 30m,2.6,285,27
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 657,Ordinary 3+2 Non AC Seater,11:00,17:00,06h 00m,3.9,280,33
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 514,Ordinary 3+2 Non AC Seater,11:30,17:40,06h 10m,3.9,270,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 6754,A/C Executive (2+3),12:00,17:10,05h 10m,3.3,380,44
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,17:30,05h 00m,3.9,280,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 562,Ordinary 3+2 Non AC Seater,15:15,21:10,05h 55m,3.9,285,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 551,A/C Executive (2+3),15:30,21:25,05h 55m,4.1,375,42
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 521,Ordinary 3+2 Non AC Seater,16:40,22:20,05h 40m,3.9,265,36
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,22:40,05h 50m,3.9,270,19
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 526,Ordinary 3+2 Non AC Seater,17:00,23:00,06h 00m,3.9,270,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 502,Himsuta AC Seater Volvo/Scania 2+2,17:30,22:56,05h 26m,3.9,513,35
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 517,Ordinary 3+2 Non AC Seater,17:35,23:20,05h 45m,3.9,285,34
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 586,Ordinary 3+2 Non AC Seater,17:40,22:30,04h 50m,3.9,265,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,23:40,05h 41m,3.9,270,27
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 534,Ordinary 3+2 Non AC Seater,18:05,23:15,05h 10m,3.9,285,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 593,Himmani Deluxe 2+2 Non AC Seater,18:20,23:40,05h 20m,3.9,300,25
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 530,Ordinary 3+2 Non AC Seater,18:20,23:50,05h 30m,3.9,270,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 587,Ordinary 3+2 Non AC Seater,18:25,23:00,04h 35m,3.9,265,36
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 537,Ordinary 3+2 Non AC Seater,18:30,0:01,05h 31m,3.9,285,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 538,Ordinary 3+2 Non AC Seater,18:31,1:30,06h 59m,3.9,280,34
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 590,A/C Executive (2+3),19:00,0:10,05h 10m,3.9,375,42
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 540,Ordinary 3+2 Non AC Seater,19:00,0:01,05h 01m,3.9,280,28
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 541,Ordinary 3+2 Non AC Seater,19:14,0:30,05h 16m,3.9,280,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 549,A/C Executive (2+3),19:25,0:40,05h 15m,3.9,380,40
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 548,Ordinary 3+2 Non AC Seater,19:31,0:40,05h 09m,3.9,280,20
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 545,Ordinary 3+2 Non AC Seater,19:32,0:20,04h 48m,3.9,270,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,0:20,04h 37m,3.9,280,27
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 553,Ordinary 3+2 Non AC Seater,19:50,1:10,05h 20m,3.9,285,13
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,1:30,05h 20m,3.9,285,25
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 557,Ordinary 3+2 Non AC Seater,20:15,1:30,05h 15m,3.9,285,37
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 84,Himsuta AC Seater Volvo/Scania 2+2,20:15,1:20,05h 05m,3.9,523,28
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 547,A/C Executive (2+3),20:16,1:25,05h 09m,3.9,390,39
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 558,Ordinary 3+2 Non AC Seater,20:20,1:30,05h 10m,3.9,285,28
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 98,Himsuta AC Seater Volvo/Scania 2+2,20:42,2:20,05h 38m,3.9,523,33
